Actual \ Predicted    a11y  audio  blog  bug   business  code  content  data  design  doc   eventOrganizing  example  financial  fundingFinding  ideas  infra  maintenance  mentoring  null   platform  plugin  projectManagement  question  review  security  talk  test  tool  translation  tutorial  userTesting  video
   question           0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   review             0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      1.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   security           0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    1.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   talk               0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   test               0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   tool               0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   translation        0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   tutorial           0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   userTesting        0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   video              0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
